,FileName,GenomeSize,GeneSize,Coding,ASR,ASR_predicted,ASR_normalized,Taxonomy,Organism
0,GCF_000001635.27_GRCm39_genomic.gff,2728222451,1320613304,37246699,5.327876867692356,3.75559226610997,3.88256987127172,Mammals,Mus musculus
1,GCF_000003025.6_Sscrofa11.1_genomic.gff,2501912388,1389570318,35553489,3.703144183683351,2.91746571060635,3.09596374276634,Mammals,Sus scrofa
2,GCF_000165445.2_Mmur_3.0_genomic.gff,2487409138,1250699459,35131539,3.540079129468253,2.74256158114335,3.10780281801423,Mammals,Microcebus murinus
3,GCF_000247795.1_Bos_indicus_1.0_genomic.gff,2673965444,987855691,32410319,2.008855081000591,1.76240795378923,2.55673239690069,Mammals,Bos indicus
4,GCF_000317375.1_MicOch1.0_genomic.gff,2287340943,943175664,33754777,2.229472468444985,1.94584535936784,2.59391237876647,Mammals,Microtus ochrogaster
5,GCF_001704415.2_ARS1.2_genomic.gff,2922617086,1091669665,34960833,2.440772420954615,,,Mammals,Capra hircus
6,GCF_002007445.2_ASM200744v3_genomic.gff,2440277323,1139211138,34527780,3.06614914135806,,,Mammals,Ailuropoda melanoleuca
7,GCF_002201575.2_ASM220157v2_genomic.gff,2419443398,929442675,32966902,1.8052603790310655,1.8018361681701,2.31370948055029,Mammals,Neomonachus schauinslandi
8,GCF_002263795.3_ARS-UCD2.0_genomic.gff,2770686120,1295081857,36598587,3.620577756184959,3.33829163802498,2.59257138784931,Mammals,Bos taurus
9,GCF_002776525.5_ASM277652v5_genomic.gff,2993041957,1248336551,35042433,2.680084256706719,,,Mammals,Piliocolobus tephrosceles
10,GCF_002837175.3_ASM283717v5_genomic.gff,2496225537,1128102550,33823680,2.9063350587517385,2.31935127799406,2.89726905044701,Mammals,Physeter catodon
11,GCF_002863925.1_EquCab3.0_genomic.gff,2506966135,1190788025,36221238,3.716272784491794,3.09451314403728,2.93204491014385,Mammals,Equus caballus
12,GCF_003254725.2_ASM325472v2_genomic.gff,2349862946,1395147252,35822391,4.217887214731144,3.18025995294422,3.34791253147626,Mammals,Canis lupus dingo
